Date,Description,Amount,Category
2021-08-11,NETBANKING TRANSFER,40146.0,Transfer
2021-08-12,GOOGLE CLOUDS          MUMBAI,2.0,Other
2021-08-16,MICROSOFT INDIA        MUMBAI,2.0,Other
2021-08-20,LinkedIn,-2.0,Subscription
2021-08-23,LinkedIn,2.0,Subscription
2021-09-02,IGST-VPS2224679493678-RATE 18.0 -32,-95.66,Other
2021-09-02,GOOGLE WORKSPACE       MUMBAI,-3852.9,Other
2021-09-02,GOOGLE CLOUD           MUMBAI,-2171.65,Other
2021-09-02,IGST-VPS2224679493679-RATE 18.0 -32,-9.99,Other
2021-09-02,IGST-VPS2224679493677-RATE 18.0 -32,-6.43,Other
2021-09-10,CONSOLIDATED FCY MARKUP FEE,-644.65,Other
2021-09-01,DIGITALOCEAN.COM       NEW YORK CIT,-1787.02,Other
2021-09-01,INTERCOM               DUBLIN,-2773.96,Other
2021-09-01,DIGITALOCEAN.COM       NEW YORK CIT,-26571.64,Other
2021-09-08,SKETCH                 EINDHOVEN,-661.51,Other
